Temperature (°C),Precipitation (mm),Humidity (%),Wind Speed (km/h),Soil Type,Soil pH,Nitrogen (N),Phosphorus (P),Potassium (K),Soil Moisture (%),Rice Variety,Fertilizer Type,Fertilizer Quantity (kg/ha),Irrigation Type,Irrigation Frequency (per month),Location,Yield (kg/ha),Quality (grade),Cost of Production (₹/ha),Market Price (₹/kg)
20.2,246.819466446278,71.0,10.6,Marsh,5.8,15.9,24.6,17.7,42.917839527537474,Brown Rice,DAP,102.02756590577069,Drip,6.0,Location 7,5543.010149041768,B,7281.0,42.8
26.609905097910787,234.33526403167696,74.8,13.8,Desert,7.0,20.7,15.0,11.8,46.88957911,Ponni,SSP,101.59452351333532,Surface,3.0,Location 11,5782.267550465299,C,4273.0,24.34
20.4,180.12667657608654,60.3,14.7,Marsh,6.2,18.9,12.1,10.0,39.86472584949112,Red Rice,Manure,82.80480728653905,Well,7.0,Location 1,5981.067819649409,A,8438.0,26.99
33.781976563006175,249.3406962289178,71.3,5.5,Black,5.8,19.2,12.5,16.5,42.633745636289134,IR64,Urea,66.49431791650667,Well,8.0,Location 14,6020.044675740486,B,9142.0,26.22
26.14152878208228,253.96325011799493,71.1,5.3,Red,7.1,11.1,10.7,24.0,48.04786587814202,Ponni,Urea,66.97395787153759,Rainfed,3.0,Location 3,5748.550242649696,D,4445.0,48.36
24.3905080314186,161.5276426635097,63.4,10.3,Marsh,5.8,21.8,21.8,16.3,40.531680576409386,Basmati,Manure,108.95765594005304,Rainfed,3.0,Location 12,5799.284280805809,D,3833.0,114.465
20.7,222.7714725572866,68.2,14.7,Desert,6.2,20.1,20.6,19.9,43.06583842839332,Brown Rice,DAP,84.79557917680398,Surface,7.0,Location 11,5613.1109499500635,D,7565.0,25.14
20.9,236.90469943201407,70.6,8.9,Alluvial,5.5,10.7,13.4,19.8,36.158185537925206,Swarna,Urea,93.57286596771328,Sprinkler,3.0,Location 7,5834.90485026305,B,3845.0,25.31
31.828338918835566,275.68705691056465,85.4,9.2,Desert,7.2,11.0,12.7,13.5,48.80095927387384,Ponni,SSP,76.71554260108059,Canal,5.0,Location 7,5679.835434303582,A,5975.0,28.08
21.2,208.71481269173745,84.3,7.2,Alluvial,6.7,15.8,10.7,17.1,49.70934291826234,Red Rice,Urea,91.37894966,Tank,7.0,Location 11,5965.518165499369,C,8098.0,43.5
21.3,169.36232904024965,71.1,14.4,Alluvial,6.3,10.1,24.4,23.5,49.20116610031377,Sona Masuri,MOP,80.63622509347164,Drip,2.0,Location 6,5754.401303161339,C,2793.0,38.17
30.300649112954662,265.70436769164235,81.2,9.6,Marsh,7.3,13.0,22.0,18.2,47.94027333555267,IR64,Urea,71.63363627,Sprinkler,4.0,Location 19,5768.0037939044405,B,5096.0,25.6
21.7,161.2249992587386,69.0,10.3,Laterite,6.9,17.1,20.2,21.4,50.79739006,Sona Masuri,SSP,103.1258645286678,Canal,2.0,Location 9,5751.9579895505985,A,2780.0,31.95
21.8,259.036852213958,70.3,7.0,Desert,7.1,21.5,17.0,20.2,36.98999488522136,Red Rice,DAP,85.01488278060975,Canal,8.0,Location 11,6049.288448735525,B,8668.0,25.5
31.447097256648952,207.7989944795466,74.4,10.7,Marsh,6.9,20.9,17.8,22.4,50.91088589158988,Ponni,Manure,93.60210389860669,Tank,4.0,Location 19,5844.822598613854,A,5131.0,44.4
22.0,251.2150953011589,74.7,7.6,Desert,5.6,19.1,21.0,21.3,38.03709230496433,Red Rice,Compost,82.63593875303519,Surface,2.0,Location 1,6065.714981925874,B,3257.0,45.97
22.3,193.7523138,66.4,10.4,Marsh,6.4,21.3,22.4,10.6,44.11778309281736,Brown Rice,SSP,83.65829043776839,Surface,4.0,Location 11,5761.316502354151,A,4720.0,28.57
32.09008503772773,259.3281672757048,70.3,14.5,Black,5.6,13.1,15.0,24.4,44.897131732454966,Ponni,Compost,81.72436846992004,Tank,6.0,Location 3,5795.216965477543,C,7136.0,46.93
23.0,227.7894969618521,72.1,11.4,Desert,6.5,20.4,24.0,18.4,40.82777641073805,Swarna,MOP,73.40465496210533,Canal,3.0,Location 8,5853.456674918213,C,4373.0,20.27
23.3,171.8349434019469,79.0,14.2,Desert,6.9,10.4,19.5,19.1,38.68347276156575,Red Rice,SSP,113.9946697200012,Well,2.0,Location 20,5935.806695971206,B,2592.0,34.38
23.4,197.13061012584663,75.9,14.3,Mountainous,5.9,15.3,20.5,10.3,53.20604163086465,Brown Rice,Compost,81.64191298084982,Surface,3.0,Location 14,5869.002971830824,D,4392.0,41.41
23.8,191.98338893831544,85.8,14.3,Red,7.0,15.8,15.8,12.5,35.76089363070116,Swarna,DAP,117.19254286754098,Localized,2.0,Location 2,5909.186410018811,B,2787.0,45.9
25.72151493097936,179.24989056089166,82.0,3.3,Alluvial,6.5,15.4,20.1,16.9,40.758915583038046,Basmati,DAP,102.36695128406808,Sprinkler,4.0,Location 9,5577.841964330152,D,5235.0,121.815
24.822107008573152,183.5646037583476,81.1,12.9,Marsh,6.1,24.2,13.1,14.7,48.75326187929125,Basmati,DAP,116.8919401466979,Drip,7.0,Location 8,5753.008169658147,B,7843.0,111.375
24.3,179.6450991820954,76.5,6.5,Laterite,7.0,24.0,14.6,22.9,54.130882093764846,Swarna,MOP,118.24624704242196,Localized,4.0,Location 14,5866.176263707622,D,4903.0,45.23
24.7,154.23640470914432,67.6,7.1,Mountainous,6.0,14.6,18.3,10.1,41.34520394499965,Sona Masuri,SSP,109.40434717348528,Sprinkler,5.0,Location 15,5775.584710946109,A,5547.0,22.96
24.8,227.15276967657584,88.9,4.3,Marsh,5.6,20.7,10.4,16.3,48.34337641407648,Swarna,SSP,105.96945310019868,Well,7.0,Location 15,5824.376091011302,B,7933.0,34.23
24.9,172.77409933472865,70.6,5.0,Laterite,6.4,23.1,12.1,18.5,54.585404800716375,Sona Masuri,Compost,101.33586582059225,Sprinkler,7.0,Location 6,5783.676713504869,A,7506.0,29.7
25.0,162.51902892905062,72.7,13.8,Laterite,5.8,24.0,12.2,14.7,42.33082241916268,Red Rice,DAP,80.27509036581422,Sprinkler,5.0,Location 16,5928.710520282249,B,5944.0,33.18
25.2,244.2973296401084,70.1,8.4,Black,6.7,11.4,24.2,20.7,54.28400838909563,Swarna,Manure,87.49964218150845,Tank,5.0,Location 7,5770.099654325015,C,5642.0,35.24
25.2,195.80592125384072,81.0,8.1,Red,6.2,20.3,12.3,12.5,48.551801800866976,Brown Rice,Manure,111.91026440901462,Well,3.0,Location 8,5821.100089845145,A,3587.0,36.69
25.3,249.8637668408266,86.9,5.9,Laterite,6.0,15.9,19.7,16.0,41.97500621703882,Red Rice,MOP,117.21942653876027,Localized,6.0,Location 1,5962.211516181928,D,7498.0,28.29
25.4,194.6793320369081,81.5,11.1,Laterite,5.6,23.9,22.7,24.2,47.99312990471671,Sona Masuri,DAP,90.75959681545729,Surface,5.0,Location 5,5700.615660220322,D,6484.0,35.34
25.8,223.2320328258561,61.2,14.6,Laterite,6.3,21.8,14.5,17.1,38.50554559665469,Brown Rice,DAP,86.76306649532664,Surface,3.0,Location 4,5783.753265258543,C,4005.0,35.98
32.75035022849599,246.10502191524083,61.3,14.4,Black,6.7,11.6,16.9,15.4,54.088030788023474,IR64,Urea,67.19181163334167,Drip,3.0,Location 19,5992.261098033098,D,4489.0,34.86
24.35906546397517,148.34589981710235,69.5,5.6,Mountainous,7.0,24.7,20.1,19.2,36.103774053860576,Basmati,Compost,99.69445626763536,Surface,4.0,Location 6,5750.748663264941,D,5149.0,91.305
